Date,Agency,Category,Information,Link
5. August 2025,Marlous van der Hooft,Article,"Culture Is the Engine of Compliance: Why GMP Performance Is Multiplicative, Not Mechanical",https://www.linkedin.com/feed/update/urn:li:activity:7358193597608796180?
5. August 2025,BARBARA PIROLA,Guidance,NIST SP 800-63-4: Digital Identity Guidelines,https://www.linkedin.com/feed/update/urn:li:activity:7358342908464218112?
5. August 2025,European Commission,Consultation,European Biotech Act Public Consultation is Open,https://www.linkedin.com/feed/update/urn:li:activity:7358346014673498112? 
5. August 2025,Central Drugs Standard Control Organization,Guidance,User Manual & Guidance Document for Online Dual Use NOC System on SUGAM Portal,https://www.linkedin.com/feed/update/urn:li:activity:7358369599869886464?
 4. August 2025,MedTech Leading Voice,Roundup,Regulatory Roundup Monday 4. August 2025,https://www.linkedin.com/feed/update/urn:li:activity:7358089323084169218?
 4. August 2025,BARBARA PIROLA,Overview,FDA Clinical Trials Training Module,https://www.linkedin.com/feed/update/urn:li:activity:7357983902289821697?
 4. August 2025,MedTech Europe,Reflection Paper,Sampling under IVDR: MedTech Europe proposal for a more risk-based approach,https://www.linkedin.com/feed/update/urn:li:activity:7357998747630411776?
 4. August 2025,Medicines and Healthcare products Regulatory Agency,Template,Decentralised Manufacture Master File (DMMF),https://www.linkedin.com/feed/update/urn:li:activity:7358013894793043968?
 4. August 2025,Marina Daineko,News,Monday News,https://www.linkedin.com/feed/update/urn:li:activity:7358030362179969024?
 4. August 2025,EU4Health,call for tenders,Single Framework contract for supporting joint work of Member States in the field of Substances of Human Origin,https://www.linkedin.com/feed/update/urn:li:activity:7358061532234018817?
4. August 2025,ANVISA Brazil,Bulletin,"Technovigilance Informative Bulletin, Issue No. 01 of 2025: Pulmonary Ventilators.",https://www.linkedin.com/feed/update/urn:li:activity:7356941900458692608?
4. August 2025,"Department of Health and Social Care, UK",Guidance,Pharmaceutical needs assessments: information pack,https://www.linkedin.com/feed/update/urn:li:activity:7357009158816104448?
4. August 2025,Egyptian Drug Authority,Guidance,Update of the requirements for the files of variables for stability studies,https://www.linkedin.com/feed/update/urn:li:activity:7356263143615987713?
4. August 2025,European Commission,Regulation,(EU) 2025/788 amending (EU) 2023/2197 as regards the date of application,https://www.linkedin.com/feed/update/urn:li:activity:7356205751725346817?
4. August 2025,European Commission,Survey,Updated - Notified bodies survey on certifications and applications,https://www.linkedin.com/feed/update/urn:li:activity:7357092224062353410?
4. August 2025,European Medicines Agency,Guidance,Procedural advice on paediatric applications,https://www.linkedin.com/feed/update/urn:li:activity:7356278549688844288?
4. August 2025,European Medicines Agency,Guidance,IRIS guide to registration and RPIs,https://www.linkedin.com/feed/update/urn:li:activity:7356709126170705920?
4. August 2025,European Medicines Agency,Meeting,14th industry stakeholder platform operation of the centralised procedure,https://www.linkedin.com/feed/update/urn:li:activity:7356696807277510658?
4. August 2025,European Medicines Agency,Overview,Comments received on the â€œHMA/EMA guidance document,https://www.linkedin.com/feed/update/urn:li:activity:7356713296546209792?
4. August 2025,"Health Sciences Authority (HSA), Singapore",Guidance,Regulatory Updates for Therapeutic Product Registration (effective 30 July 25),https://www.linkedin.com/feed/update/urn:li:activity:7356231401660129280?
4. August 2025,International Council for Harmonisation,Guidance,"ICH E2B(R3) Q&As, Implementation Guide, and Appendix I (G)",https://www.linkedin.com/feed/update/urn:li:activity:7356672390090612736?
4. August 2025,National Institute of Standards and Technology (NIST),Guidance,"Secure Software Development, Security, and Operations (DevSecOps) Practices",https://www.linkedin.com/feed/update/urn:li:activity:7356691343852642304?
4. August 2025,Medical Device Authority Malaysia,Announcement,Malaysia China Medical Device Regulatory Reliance Programme,https://www.linkedin.com/feed/update/urn:li:activity:7356274713502859264?
4. August 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Medical device products using nanomaterials Classification definition,https://www.linkedin.com/feed/update/urn:li:activity:7356937530249777152?
4. August 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Rehabilitation digital therapy software - Classification definition,https://www.linkedin.com/feed/update/urn:li:activity:7356938288051462144?
4. August 2025, Executive Office of the President of the United States,Plan,America's AI Action Plan,https://www.linkedin.com/feed/update/urn:li:activity:7357016222531493890?
4. August 2025, Swissmedic,Form,Swissmedic Forms for July 2025,
4. August 2025, Swissmedic,Guidance,GMP compliance by foreign manufacturers,https://www.linkedin.com/feed/update/urn:li:activity:7356298757526720512?
4. August 2025,"Team Notified Body, Europe",Perspective,Perspective on Future Governance in the EU Medical Device Sector,https://www.linkedin.com/feed/update/urn:li:activity:7356267305829318657?
4. August 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,eCTD v4.0 AU module 1 and regional information,https://www.linkedin.com/feed/update/urn:li:activity:7355503455295217664?
4. August 2025,"Therapeutic Goods Administration (TGA), Australia",Report,Clarifying & strengthening the regulation of Medical Device Software including AI,https://www.linkedin.com/feed/update/urn:li:activity:7356216098914017280?
4. August 2025,"Therapeutic Goods Administration (TGA), Australia",Report,Safe and Responsible AI in Health Care - Legislation and Regulation Review,https://www.linkedin.com/feed/update/urn:li:activity:7356220518091374592?
4. August 2025,USA Food & Drug Administration FDA,Whitepaper,Economics of Quality Management Incentives,https://www.linkedin.com/feed/update/urn:li:activity:7356197204342046720?
4. August 2025,USA Food & Drug Administration FDA,Guidance,FDA Approves New Alternative Standard Related to Breast Density Assessments,https://www.linkedin.com/feed/update/urn:li:activity:7355477207739179008?
4. August 2025,USA Food & Drug Administration FDA,Guidance,Medical Device User Fee Small Business Qualification and Determination,https://www.linkedin.com/feed/update/urn:li:activity:7356661327353815040?
4. August 2025,USA Food & Drug Administration FDA,Fees,Medical Device User Fee Amendments (MDUFA),https://www.linkedin.com/feed/update/urn:li:activity:7356633213282246656?
4. August 2025,USA Food & Drug Administration FDA,News,ISTAND Established as Permanent Qualification Program,https://www.linkedin.com/feed/update/urn:li:activity:7357364026571431937?
3. August 2025,MedTech Leading Voice,Newsletter,Will Your MedTech AI Be Illegal in Europe (Soon)?,https://www.linkedin.com/feed/update/urn:li:activity:7357998364229050368?
3. August 2025,MedTech Leading Voice,Video,Why Is QMS Still So Misunderstood in MedTech?,https://www.linkedin.com/feed/update/urn:li:activity:7357885345717198848?
3. August 2025,BARBARA PIROLA,Guidance,USP <797> Sterile Compounding Chapterâ€”Update Incoming,https://www.linkedin.com/feed/update/urn:li:activity:7357657019358543872?
3. August 2025,MedTech Leading Voice,Video,The QA/RA Week That Was 3. August 2025,https://www.linkedin.com/feed/update/urn:li:activity:7357651449754918915?
2. August 2025,MedTech Leading Voice,Video,Preview Regulatory Roundup Monday 4. August 2025,https://www.linkedin.com/feed/update/urn:li:activity:7357289075998871552?
2. August 2025,USA Food & Drug Administration FDA,News,ISTAND Established as Permanent Qualification Program,https://www.linkedin.com/feed/update/urn:li:activity:7357364026571431937?
1. August 2025,European Commission,Survey,Survey results of the 14thNB survey (MDR/IVDR) with data status 28 February 2025,https://www.linkedin.com/feed/update/urn:li:activity:7357092224062353410?
1. August 2025,MedTech Leading Voice,Video,The QA/RA Month That Was July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7357034781282369536?
1. August 2025,Executive Office of the President of the United States,Plan,AMERICAâ€™S AI ACTION PLAN,https://www.linkedin.com/feed/update/urn:li:activity:7357016222531493890?
1. August 2025,"Department of Health and Social Care, UK",Guidance,Pharmaceutical needs assessments: information pack,https://www.linkedin.com/feed/update/urn:li:activity:7357009158816104448?
1. August 2025,ANVISA Brazil,Bulletin,"Technovigilance Informative Bulletin, Issue No. 01 of 2025: Pulmonary Ventilators",https://www.linkedin.com/feed/update/urn:li:activity:7356941900458692608?
1. August 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Medical device products using nanomaterials Classification definition guiding principles,https://www.linkedin.com/feed/update/urn:li:activity:7356937530249777152?
1. August 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Rehabilitation digital therapy software products Classification definition guiding principles,https://www.linkedin.com/feed/update/urn:li:activity:7356938288051462144?
31. July 2025,European Medicines Agency,Overview,Overview of comments received on the â€œHMA/EMA guidance document on the identification of  personal data and commercially confidential information within the structure of the marketing authorisation application (MAA) dossierâ€ â€“ public consultation,https://www.linkedin.com/feed/update/urn:li:activity:7356713296546209792?
31. July 2025,European Medicines Agency,Guidance,IRIS guide to registration and RPIs,https://www.linkedin.com/feed/update/urn:li:activity:7356709126170705920?
31. July 2025,European Medicines Agency,Meeting,Highlight report: 14th meeting of the industry stakeholder platform on the operation of the centralised procedure for human medicines,https://www.linkedin.com/feed/update/urn:li:activity:7356696807277510658?
31. July 2025,National Institute of Standards and Technology (NIST),Guidance,"Secure Software Development, Security, and Operations (DevSecOps) Practices",https://www.linkedin.com/feed/update/urn:li:activity:7356691343852642304?
31. July 2025,International Council for Harmonisation,Guidance,"ICH E2B(R3) Q&As, Implementation Guide, and Appendix I (G) Reach Step 4 of the ICH Process",https://www.linkedin.com/feed/update/urn:li:activity:7356672390090612736?
31. July 2025,USA Food & Drug Administration FDA,Guidance,Medical Device User Fee Small Business Qualification and Determination,https://www.linkedin.com/feed/update/urn:li:activity:7356661327353815040?
31. July 2025,USA Food & Drug Administration FDA,Fees,"Medical Device User Fee Amendments (MDUFA) Fiscal Year 2026 (Oct 1, 2024 â€“ Sep 30, 2025)",https://www.linkedin.com/feed/update/urn:li:activity:7356633213282246656?
30. July 2025,Swissmedic,Guidance,GMP compliance by foreign manufacturers,https://www.linkedin.com/feed/update/urn:li:activity:7356298757526720512?
30. July 2025,European Medicines Agency,Guidance,Procedural advice on paediatric applications,https://www.linkedin.com/feed/update/urn:li:activity:7356278549688844288?
30. July 2025,Medical Device Authority Malaysia,Announcement,Implementation of the Malaysia-China Medical Device Regulatory Reliance Programme (Pilot Phase 1: 30 July â€“ 30 September 2025),https://www.linkedin.com/feed/update/urn:li:activity:7356274713502859264?
30. July 2025,"Team Notified Body, Europe",Perspective,Notified Body Perspective on Future Governance in the EU Medical Device Sector,https://www.linkedin.com/feed/update/urn:li:activity:7356267305829318657?
30. July 2025,Egyptian Drug Authority,Guidance,Update of the requirements for the files of variables for stability studies submitted in advance to the General Directorate of Stability,https://www.linkedin.com/feed/update/urn:li:activity:7356263143615987713?
30. July 2025,"Health Sciences Authority (HSA), Singapore",Guidance,Regulatory Updates for Therapeutic Product Registration (effective 30 July 25),https://www.linkedin.com/feed/update/urn:li:activity:7356231401660129280?
30. July 2025,"Therapeutic Goods Administration (TGA), Australia",Report,Clarifying and strengthening the regulation of Medical Device Software including Artificial Intelligence (AI),https://www.linkedin.com/feed/update/urn:li:activity:7356216098914017280?
