Date,Agency,Category,Information,
26. January 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Innovative Licensing and Access Pathway (ILAP),https://www.linkedin.com/feed/update/urn:li:activity:7420348371460063232/
26. January 2026,Swissmedic,Forms,Swissmedic Forms for January 2026,
26. January 2026,Swissmedic,Guidance,swissdamed Business Rules Technical document issued by Swissmedic describing business rules for swissdamed.,https://www.linkedin.com/feed/update/urn:li:activity:7419632648781824000/
26. January 2026,Swissmedic,Guidance,Requirements regarding a Notified Body Opinion Application for Authorisation of a Medicinal Product with Integral Medical Device Component (Integral Combination Product),https://www.linkedin.com/feed/update/urn:li:activity:7419995245687316480/
26. January 2026,Therapeutic Goods Administration (TGA),Guidance,Applying for an export certification for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7419280753781329920/
26. January 2026,Therapeutic Goods Administration,Guidance,Compliance Principles 2026 and 2027 Safeguarding Therapeutic Goods: Protects consumers from unsafe products and improves public visibility of compliance actions.,https://www.linkedin.com/feed/update/urn:li:activity:7419992330121777152/
26. January 2026,Therapeutic Goods Administration (TGA),Guidance,Understanding regulation of software-based medical devices Guidance on how the Therapeutic Goods Administration (TGA) regulates software and AI-based medical devices in Australia,https://www.linkedin.com/feed/update/urn:li:activity:7420346070443941888/
26. January 2026,USA Food & Drug Administration FDA,Guidance,FDA The Common Technical Document for the Registration of Pharmaceuticals for Human Use: Quality M4Q(R2) M4Q(R2) defines the structure and location of Quality information in the Common Technical Document (CTD) for human medicinal products.,https://www.linkedin.com/feed/update/urn:li:activity:7419704896452476928/
26. January 2026,USA Food & Drug Administration FDA,Guidance,Minimal Residual Disease and Complete Response in Multiple Myeloma: Use as Endpoints to Support Accelerated Approval,https://www.linkedin.com/feed/update/urn:li:activity:7419708918643200000/
26. January 2026,USA Food & Drug Administration FDA,Announcement,"FDA Announces PreCheck Implementation Roadmap FDA announced it will begin accepting applications for the PreCheck Pilot Program on February 1, 2026",https://www.linkedin.com/feed/update/urn:li:activity:7419987941285928960/
26. January 2026,USA Food & Drug Administration FDA,Guidance,FDA Records Access Authority for Cosmetic Products: Guidance for Industry (Draft) Explains FDAs authority to access and copy records related to cosmetic products during inspections and investigations.,https://www.linkedin.com/feed/update/urn:li:activity:7419997644128763904/
