Date,Agency,Category,Information,
22. December 2025,Swissmedic,Guidance,eIAM Portal Administrator,https://www.linkedin.com/feed/update/urn:li:activity:7406604792845783040?
22. December 2025,"Team Notified Body, Europe",Position Paper,Annex VII (Commission Implementing Regulation Draft) Executive Summary,https://www.linkedin.com/feed/update/urn:li:activity:7407304207344496640?
22. December 2025,"Team Notified Body, Europe",Position Paper,Considerations for Down-Classification of SARS-CoV-2 IVD Tests under IVDR,https://www.linkedin.com/feed/update/urn:li:activity:7407306638967193601?
22. December 2025,"Therapeutic Goods Administration (TGA), Australia",Report,Stakeholder Survey Report 2025,https://www.linkedin.com/feed/update/urn:li:activity:7406218824490012672?
22. December 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Understanding rules for boundary and combination products,https://www.linkedin.com/feed/update/urn:li:activity:7406945335627005952?
22. December 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Understanding listed and registered complementary medicine regulation,https://www.linkedin.com/feed/update/urn:li:activity:7406947378466996224?
22. December 2025,USA Food & Drug Administration FDA,Guidance,MAPP 5200.11 - Prescription to Nonprescription Switches and ANDAs,https://www.linkedin.com/feed/update/urn:li:activity:7406581926406287360?
22. December 2025,USA Food & Drug Administration FDA,Guidance,"Enhancing Participation in Clinical Trials - Eligibility Criteria, Enrollment Practices",https://www.linkedin.com/feed/update/urn:li:activity:7406583680179056640?
22. December 2025,USA Food & Drug Administration FDA,Guidance,Investigator Responsibilities - Safety Reporting Investigational Drugs & Devices,https://www.linkedin.com/feed/update/urn:li:activity:7406586504975896576?
22. December 2025,USA Food & Drug Administration FDA,Guidance,Safety Reporting Requirements & Safety Assessment for IND & BA/BE Studies,https://www.linkedin.com/feed/update/urn:li:activity:7406588840309837824?
22. December 2025,USA Food & Drug Administration FDA,Guidance,Study Data Technical Conformance Guide (SDTCG),https://www.linkedin.com/feed/update/urn:li:activity:7406953336123371520?
22. December 2025,USA Food & Drug Administration FDA,Guidance,ANDA Submissions-Amendments and Requests for Final Approval,https://www.linkedin.com/feed/update/urn:li:activity:7406955084577742848?
22. December 2025,USA Food & Drug Administration FDA,Guidance,Use of RWE to Support Regulatory Decision-Making for Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7407320389913088000?
22. December 2025,USA Food & Drug Administration FDA,Guidance,Processes and Practices Applicable to Bioresearch Monitoring Inspections,https://www.linkedin.com/feed/update/urn:li:activity:7407679307399135232?
22. December 2025,USA Food & Drug Administration FDA,Guidance,Questions and Answers Regarding Mandatory Cosmetics Recalls,https://www.linkedin.com/feed/update/urn:li:activity:7407682793138311168?
