Date,MedTech Leading Voice,Category,Title,Link
01. September 2025,MedTech Leading Voice,Newsletter,New Study: AI for Clinical Workflows Deliver Measurable Benefits for Patients and Clinicians,https://www.linkedin.com/pulse/new-study-ai-clinical-workflows-deliver-measurable-benefits-smith-plzoe
30. August 2025,MedTech Leading Voice,Newsletter,IEC 60601 (4th Edition) in MedTech: What RAQA Leaders Need to Prepare For Now,https://www.linkedin.com/pulse/iec-60601-4th-edition-medtech-what-raqa-leaders-need-prepare-smith-idjye
24. August 2025,MedTech Leading Voice,Newsletter,Help Shape the Future of AI in MedTech Regulatory; Quality,https://www.linkedin.com/pulse/help-shape-future-ai-medtech-regulatory-quality-sean-smith-tgm4e
18. August 2025,MedTech Leading Voice,Newsletter,5 Critical Risks Every MedTech Team Faces,https://www.linkedin.com/pulse/5-critical-risks-every-medtech-team-faces-sean-smith-hpyqe
17. August 2025,MedTech Leading Voice,Newsletter,"ChatGPT-5: Smarter, Faster, Safer ",https://www.linkedin.com/pulse/chatgpt-5-smarter-faster-safer-headed-medtech-sean-smith-bovqe
12. August 2025,MedTech Leading Voice,Newsletter,Designing Devices People Can Actually Use,https://www.linkedin.com/pulse/designing-devices-people-can-actually-use-sean-smith-m3zle
10. August 2025,MedTech Leading Voice,Newsletter,EUs General-Purpo,https://www.linkedin.com/pulse/eus-general-purpose-ai-rules-now-force-sean-smith-iv7we
03. August 2025,MedTech Leading Voice,Newsletter,Will Your MedTech AI Be Illegal in Europe (Soon)?,https://www.linkedin.com/pulse/your-medtech-ai-illegal-europe-soon-sean-smith-49q5e
27. July 2025,MedTech Leading Voice,Newsletter,7 Point Scorecard to Improve Synthetic Medical Data Quality,https://www.linkedin.com/pulse/7-point-scorecard-improve-synthetic-medical-data-quality-sean-smith-dacme
22. July 2025,MedTech Leading Voice,Newsletter,The #1 Most Overlooked Opportunity in Quality Systems? CAPA,https://www.linkedin.com/pulse/1-most-overlooked-opportunity-quality-systems-capa-sean-smith-zl8pe
20. July 2025,MedTech Leading Voice,Newsletter,FDA-Authorized AI-Enabled Medical Devices: An Updated Report,https://www.linkedin.com/pulse/fda-authorized-ai-enabled-medical-devices-updated-report-sean-smith-naspe
14. July 2025,MedTech Leading Voice,Newsletter,"New Webinar: IoT, Medical Device, or Both? Why Every Device with Software Needs to Pay Attention",https://www.linkedin.com/pulse/new-webinar-iot-medical-device-both-why-every-software-sean-smith-pnize
13. July 2025,MedTech Leading Voice,Newsletter,UK MDR Update: How MedTech Firms Can Get Ready in 2025,https://www.linkedin.com/pulse/uk-mdr-update-how-medtech-firms-can-get-ready-2025-sean-smith-oi8me
10. July 2025,MedTech Leading Voice,Newsletter,"The Pursuit of Quality: An Inside Look at FDA Enforcement, Remediation, and Patient Safety",https://www.linkedin.com/pulse/pursuit-quality-inside-look-fda-enforcement-patient-safety-sean-smith-pubpc
06. July 2025,MedTech Leading Voice,Newsletter,Your Free Medical Literature Review Guide,https://www.linkedin.com/pulse/your-free-medical-literature-review-guide-sean-smith-babqe
29. June 2025,MedTech Leading Voice,Newsletter,EU AI Act and MedTech,https://www.linkedin.com/pulse/eu-ai-act-medtech-sean-smith-4mdze
23. June 2025,MedTech Leading Voice,Newsletter,Post-Market Clinical Studies in Non-Traditional Settings Masterclass,https://www.linkedin.com/pulse/post-market-clinical-studies-non-traditional-settings-sean-smith-bkkhc
22. June 2025,MedTech Leading Voice,Newsletter,MDSAP Enters a New Era,https://www.linkedin.com/pulse/mdsap-enters-new-era-sean-smith-dbare
15. June 2025,MedTech Leading Voice,Newsletter,Quality Management Myth Debunked: QMS isnt,https://www.linkedin.com/pulse/quality-management-myth-debunked-qms-isnt-checklist-sean-smith-q5uoe
10. June 2025,MedTech Leading Voice,Newsletter,Are MedTech Experts an Endangered Species?,https://www.linkedin.com/pulse/medtech-experts-endangered-species-sean-smith-nknre
08. June 2025,MedTech Leading Voice,Newsletter,Special Edition: 510(k) Insights; Updates,https://www.linkedin.com/pulse/special-edition-510k-insights-updates-sean-smith-wdd1e
01. June 2025,MedTech Leading Voice,Newsletter,EU; US Device Regulation: The Origin Story,https://www.linkedin.com/pulse/eu-us-device-regulation-origin-story-sean-smith-53kbe
25. May 2025,MedTech Leading Voice,Newsletter,How to Build an FDA-Compliant Cybersecurity Architecture for Your Connected Device,https://www.linkedin.com/pulse/how-build-fda-compliant-cybersecurity-architecture-your-sean-smith-v4z2e
23. May 2025,MedTech Leading Voice,Newsletter,MedTech Leading Voice Launches MLV Exchange (MLVx) to Elevate the Experts Behind MedTech Innovation,https://www.linkedin.com/pulse/medtech-leading-voice-launches-mlv-exchange-mlvx-elevate-sean-smith-xcrve
21. May 2025,MedTech Leading Voice,Newsletter,What to Consider Before Launching a Medical Device in the U.S. Market,https://www.linkedin.com/pulse/what-consider-before-launching-medical-device-us-market-sean-smith-wayje
18. May 2025,MedTech Leading Voice,Newsletter,Can We Really Trust AI with FDA Reviews?,https://www.linkedin.com/pulse/can-we-really-trust-ai-fda-reviews-sean-smith-jj11e
15. May 2025,MedTech Leading Voice,Newsletter,Streamlining EU MDR; IVDR Compliance Through Digital Transformation,https://www.linkedin.com/pulse/streamlining-eu-mdr-ivdr-compliance-through-digital-sean-smith-jr5ie
12. May 2025,MedTech Leading Voice,Newsletter,PSUR Timing Under EU MDR: Class and Lifetime Determine Your Obligations,https://www.linkedin.com/pulse/psur-timing-under-eu-mdr-class-lifetime-determine-your-sean-smith-hdzpe
08. May 2025,MedTech Leading Voice,Newsletter,Meet the 10x Startups,https://www.linkedin.com/pulse/meet-10x-startups-sean-smith-h23ne
08. May 2025,MedTech Leading Voice,Newsletter,Meet the 10x Fast Round Speakers,https://www.linkedin.com/pulse/meet-10x-fast-round-speakers-sean-smith-nyspe
04. May 2025,MedTech Leading Voice,Newsletter,EU MDR and IVDR Reform: A New Team NB Position Paper,https://www.linkedin.com/pulse/eu-mdr-ivdr-reform-new-team-nb-position-paper-sean-smith-shyze
02. May 2025,MedTech Leading Voice,Newsletter,"How to Develop, Secure, and Get FDA Clearance for Software-Enabled Medical Devices",https://www.linkedin.com/pulse/how-develop-secure-get-fda-clearance-software-enabled-sean-smith-mgv4e
28. April 2025,MedTech Leading Voice,Newsletter,MDR-Ready Literature Reviews: Beyond Compliance to Strategic Advantage,https://www.linkedin.com/pulse/mdr-ready-literature-reviews-beyond-compliance-strategic-sean-smith-vf2ee
27. April 2025,MedTech Leading Voice,Newsletter,Is This the End of QSIT?,https://www.linkedin.com/pulse/end-qsit-sean-smith-cwqoc
21. April 2025,MedTech Leading Voice,Newsletter,What MedTech Really Needs in 2025,https://www.linkedin.com/pulse/what-medtech-really-needs-2025-sean-smith-8xj5e
20. April 2025,MedTech Leading Voice,Newsletter,Understanding Risk Management for Medical Device Software,https://www.linkedin.com/pulse/understanding-risk-management-medical-device-software-sean-smith-lapde
19. April 2025,MedTech Leading Voice,Newsletter,"10x2025: Humanizing MedTech Launches Big Brother, Big Sister",https://www.linkedin.com/pulse/10x2025-humanizing-medtech-launches-big-brother-sister-sean-smith-w99ne
13. April 2025,MedTech Leading Voice,Newsletter,A Quick Guide to EU MDR Clinical Evaluation,https://www.linkedin.com/pulse/quick-guide-eu-mdr-clinical-evaluation-sean-smith-30twe
10. April 2025,MedTech Leading Voice,Newsletter,Utilizing FDA Warning Letters,https://www.linkedin.com/pulse/utilizing-fda-warning-letters-sean-smith-6ndpe
07. April 2025,MedTech Leading Voice,Newsletter,IMDRF Reliance Playbook for Medical Device Regulatory Reliance Programs,https://www.linkedin.com/pulse/imdrf-reliance-playbook-medical-device-regulatory-programs-sean-smith-6jzle
05. April 2025,MedTech Leading Voice,Newsletter,"Dr. Amy Baxter on Chronic Back Pain, Vibration Therapy, and Why the System Feels Broken",https://www.linkedin.com/pulse/dr-amy-baxter-chronic-back-pain-vibration-therapy-why-sean-smith-c3npe
31. March 2025,MedTech Leading Voice,Newsletter,A Step-,https://www.linkedin.com/pulse/step-by-step-guide-eu-clinical-market-success-medtech-sean-smith-cls2e
30. March 2025,MedTech Leading Voice,Newsletter,Global Post-Market Surveillance: A Comparison of Regional Medical Device Regulations,https://www.linkedin.com/pulse/global-post-market-surveillance-comparison-regional-medical-smith-rmb2e
26. March 2025,MedTech Leading Voice,Newsletter,Is Your QMS Fit for Purpose?,https://www.linkedin.com/pulse/your-qms-fit-purpose-sean-smith-c9nte
25. March 2025,MedTech Leading Voice,Newsletter,Tom Melvin on BioMed Alliances Critical Recommendations for,https://www.linkedin.com/pulse/tom-melvin-biomed-alliances-critical-recommendations-europes-smith-9qywe
23. March 2025,MedTech Leading Voice,Newsletter,Revising MDR and IVDR: A Patient-Centric Proposal for EU MedTech Governance,https://www.linkedin.com/pulse/revising-mdr-ivdr-patient-centric-proposal-eu-medtech-sean-smith-0bb0e
16. March 2025,MedTech Leading Voice,Newsletter,Why So Many MedTech Startups Fail,https://www.linkedin.com/pulse/why-so-many-medtech-startups-fail-sean-smith-dcj6e
13. March 2025,MedTech Leading Voice,Newsletter,A Conversation with Amin Osmani: How Cedience is Reshaping Regulatory Intelligence,https://www.linkedin.com/pulse/conversation-amin-osmani-how-cedience-reshaping-regulatory-sean-smith-9hfke
12. March 2025,MedTech Leading Voice,Newsletter,De-Risking Regulatory Strategy with AI-Powered Global Insights: A Solutions Spotlight on Dr. Evidence,https://www.linkedin.com/pulse/de-risking-regulatory-strategy-ai-powered-global-insights-sean-smith-igkae
10. March 2025,MedTech Leading Voice,Newsletter,Top 10 Risk Management Mistakes (ISO 14971),https://www.linkedin.com/pulse/top-10-risk-management-mistakes-iso-14971-sean-smith-lgcde
08. March 2025,MedTech Leading Voice,Newsletter,Lets Celebrate Inte,https://www.linkedin.com/pulse/lets-celebrate-international-womens-day-sean-smith-v2efe
06. March 2025,MedTech Leading Voice,Newsletter,Two of the Most Overlooked Factors in Medical Device Commercialization,https://www.linkedin.com/pulse/two-most-overlooked-factors-medical-device-sean-smith-mcpie
02. March 2025,MedTech Leading Voice,Newsletter,Clinical Strategy as Part of Pre-submission Dialogue Between Manufacturer and Notified Body,https://www.linkedin.com/pulse/clinical-strategy-part-pre-submission-dialogue-between-sean-smith-efyce
27. February 2025,MedTech Leading Voice,Newsletter,Winning in the EU: A Three-Part Series on Clinical Strategy; Compliance,https://www.linkedin.com/pulse/winning-eu-three-part-series-clinical-strategy-compliance-sean-smith-jlu6e
23. February 2025,MedTech Leading Voice,Newsletter,A New Era of Industry-Led Collaboration for MedTech Regulation,https://www.linkedin.com/pulse/new-era-industry-led-collaboration-medtech-regulation-sean-smith-zouze
18. February 2025,MedTech Leading Voice,Newsletter,Free Post-Market Surveillance Tool Introduced,https://www.linkedin.com/pulse/free-post-market-surveillance-tool-introduced-johner-institute-smith-cmjge
17. February 2025,MedTech Leading Voice,Newsletter,"Targeted Evaluation: EU Rules on Medical Devices and In Vitro Diagnostics",https://www.linkedin.com/pulse/targeted-evaluation-eu-rules-medical-devices-vitro-sean-smith-gqk8e
13. February 2025,MedTech Leading Voice,Newsletter,Free FDA Cybersecurity Quick-Start Guide from CyberMed,https://www.linkedin.com/pulse/free-fda-cybersecurity-quick-start-guide-from-cybermed-sean-smith-pbfse
10. February 2025,MedTech Leading Voice,Newsletter,Understanding Unique Device Identification (UDI) and Why It Matters for MedTech,https://www.linkedin.com/pulse/understanding-unique-device-identification-udi-why-matters-sean-smith-aifve
02. February 2025,MedTech Leading Voice,Newsletter,MedTech Concept to Commercialization: Mapping the Journey Pitfalls,https://www.linkedin.com/pulse/medtech-concept-commercialization-mapping-journey-pitfalls-sean-smith-rfsqe
26. January 2025,MedTech Leading Voice,Newsletter,100 Top Medical Device Leaders to Follow on LinkedIn in 2025,https://www.linkedin.com/pulse/100-top-medical-device-leaders-follow-linkedin-2025-sean-smith-j6yte
24. January 2025,MedTech Leading Voice,Newsletter,100 MedTech Leading Voices Worth Following on LinkedIn in 2025,https://www.linkedin.com/pulse/100-medtech-leading-voices-worth-following-linkedin-2025-sean-smith-eevle
20. January 2025,MedTech Leading Voice,Newsletter,100 MedTech Leading Voices worth following on LinkedIn in 2025,https://www.linkedin.com/pulse/100-medtech-leading-voices-worth-following-linkedin-2025-sean-smith-53vge
13. January 2025,MedTech Leading Voice,Newsletter,The Complete Guide to Article 10a Compliance,https://www.linkedin.com/pulse/complete-guide-article-10a-compliance-sean-smith-ixsxe
05. January 2025,MedTech Leading Voice,Newsletter,2025 Year-In-Preview for the MedTech Industry,https://www.linkedin.com/pulse/2025-year-in-preview-medtech-industry-sean-smith-fvmve
30. December 2024,MedTech Leading Voice,Newsletter,MedTech Leading Voice 2024 Year-In-Review,https://www.linkedin.com/pulse/medtech-leading-voice-2024-year-in-review-sean-smith-jhxae
22. December 2024,MedTech Leading Voice,Newsletter,Unraveling the Team-NB Position Paper on ';MDR Certification Process';,https://www.linkedin.com/pulse/unraveling-team-nb-position-paper-mdr-certification-process-smith-qcoqe
15. December 2024,MedTech Leading Voice,Newsletter,Post-Quantum Cryptography and Cybersecurity for Medical Devices,https://www.linkedin.com/pulse/post-quantum-cryptography-cybersecurity-medical-devices-sean-smith-qjo4e
08. December 2024,MedTech Leading Voice,Newsletter,Understanding Biocompatibility and Biological Evaluation for Medical Devices,https://www.linkedin.com/pulse/understanding-biocompatibility-biological-evaluation-medical-smith-p9bue
01. December 2024,MedTech Leading Voice,Newsletter,Simplifying MedTech Cybersecurity Compliance,https://www.linkedin.com/pulse/simplifying-medtech-cybersecurity-compliance-sean-smith-s4zae
24. November 2024,MedTech Leading Voice,Newsletter,6 Things You Need to Know About the GSPR Checklist (MDCG 2021-8 Annex VI),https://www.linkedin.com/pulse/6-things-you-need-know-gspr-checklist-mdcg-2021-8-annex-sean-smith-go2xe
23. November 2024,MedTech Leading Voice,Newsletter,Enhancing Regulatory Success Through Structured Dialogue with Notified Bodies,https://www.linkedin.com/pulse/enhancing-regulatory-success-through-structured-dialogue-sean-smith-viise
17. November 2024,MedTech Leading Voice,Newsletter,MDCG 2023-3 rev.1 - Questions and Answers on Vigilance Terms and Concepts,https://www.linkedin.com/pulse/mdcg-2023-3-rev1-questions-answers-vigilance-terms-concepts-smith-sco5e
10. November 2024,MedTech Leading Voice,Newsletter,Biocomp Beyond the Basics: ISO 10993 - Key Revisions You Need to Know: US vs EU,https://www.linkedin.com/pulse/biocomp-beyond-basics-iso-10993-key-revisions-you-need-sean-smith-ra6de
03. November 2024,MedTech Leading Voice,Newsletter,Post Market Surveillance: Raising Concerns About Compliance,https://www.linkedin.com/pulse/post-market-surveillance-raising-concerns-compliance-sean-smith-zm6ne
27. October 2024,MedTech Leading Voice,Newsletter,MDR Revision: EU Parliament Calls for ';Urgent need to revise the medical devices regulation';,https://www.linkedin.com/pulse/mdr-revision-eu-parliament-calls-urgent-need-revise-medical-smith-jqyze
20. October 2024,MedTech Leading Voice,Newsletter,Three MedTech Industry Insider Takes on ';Structured Dialogue';,https://www.linkedin.com/pulse/three-medtech-industry-insider-takes-structured-dialogue-sean-smith-ikz8e
13. October 2024,MedTech Leading Voice,Newsletter,Medical Device Claims: US vs. EU,https://www.linkedin.com/pulse/medical-device-claims-us-vs-eu-sean-smith-1b2ee
06. October 2024,MedTech Leading Voice,Newsletter,Innovation vs. Regulation in MedTech,https://www.linkedin.com/pulse/innovation-vs-regulation-medtech-sean-smith-js0ce
29. September 2024,MedTech Leading Voice,Newsletter,AI; ML Shaping the Future of MedTech,https://www.linkedin.com/pulse/ai-ml-shaping-future-medtech-sean-smith-btuhe
27. September 2024,MedTech Leading Voice,Newsletter,Clinical Data Requirements: EU vs. US,https://www.linkedin.com/pulse/clinical-data-requirements-eu-vs-us-sean-smith-qqqme
22. September 2024,MedTech Leading Voice,Newsletter,Understanding Real-World Evidence for Medical Devices,https://www.linkedin.com/pulse/understanding-real-world-evidence-medical-devices-sean-smith-wydwe
19. September 2024,MedTech Leading Voice,Newsletter,Finding a Sustainable Path Forward in Medical Device Regulation,https://www.linkedin.com/pulse/finding-sustainable-path-forward-medical-device-regulation-sean-smith-lcwxe
16. September 2024,MedTech Leading Voice,Newsletter,Countdown to RAPS Convergence 2024,https://www.linkedin.com/pulse/countdown-raps-convergence-2024-sean-smith-bhh3e
14. September 2024,MedTech Leading Voice,Newsletter,Reshaping the Future of SaMD Innovation in the EU,https://www.linkedin.com/pulse/reshaping-future-samd-innovation-eu-sean-smith-4vlde
10. September 2024,MedTech Leading Voice,Newsletter,Clinical Data Requirements: EU vs. US Key Di,https://www.linkedin.com/pulse/clinical-data-requirements-eu-vs-us-key-differences-strategies-smith-eoh0e
09. September 2024,MedTech Leading Voice,Newsletter,Clinical Perspectives: Data and Evaluation Requirements,https://www.linkedin.com/pulse/clinical-perspectives-data-evaluation-requirements-sean-smith-kvx8e
01. September 2024,MedTech Leading Voice,Newsletter,"Special Edition: Supercharge your MedTech Career with New Courses, Conferences, Webinars, eBooks, and Interviews",https://www.linkedin.com/pulse/special-edition-supercharge-your-medtech-career-new-courses-smith-r16ce
29. August 2024,MedTech Leading Voice,Newsletter,PRRC: The Vital New Role in EU Medical Device Compliance,https://www.linkedin.com/pulse/prrc-vital-new-role-eu-medical-device-compliance-sean-smith-uvbke
25. August 2024,MedTech Leading Voice,Newsletter,"Back to MedTech Startup School: New Free Courses, Webinars, and eBooks",https://www.linkedin.com/pulse/back-medtech-startup-school-new-free-courses-webinars-sean-smith-qv5we
21. August 2024,MedTech Leading Voice,Newsletter,Johner Institute Launches EUSTAR,https://www.linkedin.com/pulse/johner-institute-launches-eustar-regulatory-executive-sean-smith-ujgoe
18. August 2024,MedTech Leading Voice,Newsletter,Q4 MedTech Outlook: There's Still Time to Win 2024,https://www.linkedin.com/pulse/q4-medtech-outlook-theres-still-time-win-2024-sean-smith-iys9e
11. August 2024,MedTech Leading Voice,Newsletter,Preparing the Medical Device Industry for the EU AI ACT,https://www.linkedin.com/pulse/preparing-medical-device-industry-eu-ai-act-sean-smith-qhnye
04. August 2024,MedTech Leading Voice,Newsletter,MDR Conformity Assessment Routes,https://www.linkedin.com/pulse/mdr-conformity-assessment-routes-sean-smith-pfrae
28. July 2024,MedTech Leading Voice,Newsletter,Understanding Post-Market Surveillance Systems and Validation,https://www.linkedin.com/pulse/understanding-post-market-surveillance-systems-validation-sean-smith-p3ose
21. July 2024,MedTech Leading Voice,Newsletter,"Ready or Not, Here Comes the EU AI Act",https://www.linkedin.com/pulse/ready-here-comes-eu-ai-act-sean-smith-mmvme
14. July 2024,MedTech Leading Voice,Newsletter,Benefit/Risk Ratio or Profile? Raising the Discussion for Medical Devices,https://www.linkedin.com/pulse/benefitrisk-ratio-profile-raising-discussion-medical-devices-smith-avnxe
07. July 2024,MedTech Leading Voice,Newsletter,Copy of Understanding Continuous Improvement in Quality Management,https://www.linkedin.com/pulse/copy-understanding-continuous-improvement-quality-management-smith-snxee
30. June 2024,MedTech Leading Voice,Newsletter,5 Rules for Building a Technical Documentation Ecosystem,https://www.linkedin.com/pulse/5-rules-building-technical-documentation-ecosystem-sean-smith-5jqge
23. June 2024,MedTech Leading Voice,Newsletter,Are You an AI-Savvy MedTech Professional?,https://www.linkedin.com/pulse/you-ai-savvy-medtech-professional-sean-smith-tjfde
17. June 2024,MedTech Leading Voice,Newsletter,Simplifying MDR and IVDR: Overcoming Regulatory Burdens and Achieving Sustainable Compliance,https://www.linkedin.com/pulse/simplifying-mdr-ivdr-overcoming-regulatory-burdens-achieving-smith-3crle
09. June 2024,MedTech Leading Voice,Newsletter,How Vulnerable Are Your Medical Devices?,https://www.linkedin.com/pulse/how-vulnerable-your-medical-devices-sean-smith-tvwwe
02. June 2024,MedTech Leading Voice,Newsletter,EU MDR; IVDR: The Seven-Year Itch,https://www.linkedin.com/pulse/eu-mdr-ivdr-seven-year-itch-sean-smith-20sue
29. May 2024,MedTech Leading Voice,Newsletter,19 Burning Questions and Answers about FDA Presubmission,https://www.linkedin.com/pulse/19-burning-questions-answers-fda-presubmission-sean-smith-walte
26. May 2024,MedTech Leading Voice,Newsletter,Understanding the Final EU AI Act,https://www.linkedin.com/pulse/understanding-final-eu-ai-act-sean-smith-mthce
20. May 2024,MedTech Leading Voice,Newsletter,Digitalization for MedTech Regulation: Embracing Sustainable Compliance,https://www.linkedin.com/pulse/digitalization-medtech-regulation-embracing-compliance-sean-smith-c7g4e
19. May 2024,MedTech Leading Voice,Newsletter,A Brief Guide to Design Controls; Product Realization,https://www.linkedin.com/pulse/brief-guide-design-controls-product-realization-sean-smith-webie
12. May 2024,MedTech Leading Voice,Newsletter,How to Build Your MedTech Career with LinkedIn,https://www.linkedin.com/pulse/how-build-your-medtech-career-linkedin-sean-smith-gllse
05. May 2024,MedTech Leading Voice,Newsletter,MedTech Regulatory Intelligence Comes of Age,https://www.linkedin.com/pulse/medtech-regulatory-intelligence-comes-age-sean-smith-mcdye
28. April 2024,MedTech Leading Voice,Newsletter,Understanding ISO 13485; QMSR,https://www.linkedin.com/pulse/understanding-iso-13485-qmsr-sean-smith-qt93e
23. April 2024,MedTech Leading Voice,Newsletter,Join Us for the Definitive MDSAP Program Update,https://www.linkedin.com/pulse/join-us-definitive-mdsap-program-update-sean-smith-kgqse
21. April 2024,MedTech Leading Voice,Newsletter,Recent MDCG Updates: 2022-9 (Rev. 1); 2024-4,https://www.linkedin.com/pulse/recent-mdcg-updates-2022-9-rev-1-2024-4-sean-smith-oyeme
14. April 2024,MedTech Leading Voice,Newsletter,How to Avoid Non-Conformities in the Post-Market Surveillance Process,https://www.linkedin.com/pulse/how-avoid-non-conformities-post-market-surveillance-process-smith-u25he
07. April 2024,MedTech Leading Voice,Newsletter,CEP: Clinical Outcome Parameter Requirements for Clinical Evaluation Plans,https://www.linkedin.com/pulse/cep-clinical-outcome-parameter-requirements-evaluation-sean-smith-ngwae
01. April 2024,MedTech Leading Voice,Newsletter,"MedTech 2023: Integrating Intelligence, Investing in Technology, and Tailoring Business Models for Diverse Needs",https://www.linkedin.com/pulse/medtech-2023-integrating-intelligence-investing-technology-sean-smith-xkw5e
24. March 2024,MedTech Leading Voice,Newsletter,Woo-hoo! MLV One-Year Anniversary Edition,https://www.linkedin.com/pulse/woo-hoo-mlv-one-year-anniversary-edition-sean-smith-mqvee
